subscriber_id,signup_date,plan,payment_method,age,gender,country,device_primary,churned_30d
S000068,2025-06-19,basic,debit_card,31.0,F,UK,tablet,0
S000069,2025-08-19,basic,debit_card,33.0,F,UK,tablet,0
S000070,2026-03-21,standard,debit_card,16.0,F,IE,tv,0
S000071,2025-07-20,basic,paypal,31.0,F,UK,tv,1
S000072,2026-05-21,standard,paypal,46.0,F,IE,tv,0
S000073,2025-09-19,premium,paypal,43.0,F,UK,mobile,0
S000074,2025-04-19,basic,paypal,33.0,M,UK,mobile,0
S000075,2022-11-17,basic,paypal,52.0,other,IE,tablet,0
S000076,2026-03-21,basic,paypal,29.0,F,IE,tablet,0
S000077,2025-01-18,basic,debit_card,26.0,F,UK,tablet,0
S000078,2025-10-19,standard,paypal,28.0,F,IE,mobile,0
S000079,2023-12-18,standard,credit_card,21.0,M,UK,tablet,0
S000080,2026-01-19,premium,voucher,40.0,M,UK,mobile,0
S000081,2025-08-19,standard,credit_card,37.0,F,UK,tablet,0
S000082,2024-07-19,standard,credit_card,40.0,F,UK,mobile,0
S000083,2025-10-19,premium,credit_card,29.0,F,UK,laptop,0
S000084,2024-01-18,basic,paypal,33.0,F,UK,tv,0
S000085,2026-04-20,basic,debit_card,16.0,M,UK,mobile,1
S000086,2025-12-19,basic,paypal,38.0,F,UK,mobile,0
S000087,2026-05-21,standard,debit_card,35.0,M,UK,laptop,0
S000088,2024-06-18,standard,debit_card,21.0,F,UK,tv,0
S000089,2025-08-19,basic,paypal,32.0,F,UK,mobile,0
S000090,2025-02-17,standard,debit_card,31.0,M,UK,tv,0
S000091,2026-04-20,basic,debit_card,53.0,F,UK,laptop,0
S000092,2025-02-17,standard,paypal,22.0,F,UK,tablet,0
S000093,2025-12-19,standard,credit_card,37.0,F,UK,mobile,0
S000094,2024-11-18,standard,debit_card,22.0,M,UK,mobile,0
S000095,2025-11-19,basic,credit_card,27.0,F,IE,mobile,0
S000096,2025-09-19,standard,debit_card,37.0,M,UK,mobile,0
S000097,2025-08-19,standard,paypal,31.0,M,UK,tv,0
S000098,2021-06-16,basic,credit_card,33.0,F,IE,tablet,0
S000099,2023-06-18,basic,credit_card,37.0,M,UK,mobile,0
S000100,2026-05-21,premium,paypal,28.0,F,UK,tv,0
S000101,2025-10-19,premium,debit_card,43.0,M,UK,mobile,0
S000102,2023-02-16,standard,debit_card,30.0,,UK,tv,0
S000103,2025-02-17,basic,credit_card,32.0,F,UK,tablet,0
S000104,2024-06-18,premium,credit_card,37.0,F,UK,mobile,0
S000105,2026-01-19,premium,credit_card,36.0,M,UK,mobile,1
S000106,2026-04-20,standard,debit_card,41.0,M,IE,tv,0
S000107,2025-12-19,standard,debit_card,37.0,F,UK,tablet,0
S000108,2021-08-16,basic,paypal,39.0,F,IE,tablet,0
S000109,2025-03-20,basic,debit_card,30.0,M,UK,tablet,0
S000110,2025-08-19,premium,credit_card,22.0,M,UK,mobile,0
S000111,2024-12-18,standard,credit_card,18.0,F,UK,mobile,0
S000112,2024-09-18,basic,paypal,,M,UK,mobile,0
S000113,2024-09-18,basic,debit_card,53.0,,UK,tv,0
S000114,2025-10-19,standard,paypal,16.0,F,IE,tv,0
S000115,2021-06-16,basic,debit_card,47.0,M,UK,mobile,0
S000116,2026-01-19,premium,credit_card,24.0,M,UK,tablet,0
S000117,2023-04-18,standard,paypal,47.0,other,UK,tv,0
S000118,2025-08-19,standard,credit_card,16.0,M,UK,tablet,0
S000119,2025-02-17,standard,credit_card,31.0,F,UK,mobile,0
S000120,2024-12-18,standard,debit_card,49.0,M,UK,tv,0
S000121,2026-02-18,standard,paypal,41.0,F,UK,tv,0
S000122,2025-12-19,standard,debit_card,30.0,F,UK,mobile,0
S000123,2024-10-18,basic,debit_card,16.0,F,IE,mobile,0
S000124,2023-11-18,standard,debit_card,19.0,,UK,tv,0
S000125,2025-02-17,basic,paypal,49.0,F,UK,tablet,0
S000126,2022-10-17,standard,paypal,30.0,F,UK,laptop,0
S000127,2025-07-20,basic,debit_card,33.0,M,UK,tv,0
S000128,2025-09-19,basic,credit_card,,F,UK,tv,0
S000129,2023-10-18,basic,debit_card,19.0,F,UK,mobile,0
S000130,2026-05-21,standard,paypal,38.0,,UK,laptop,0
S000131,2023-11-18,basic,credit_card,29.0,F,UK,laptop,0
S000132,2025-12-19,premium,credit_card,37.0,,IE,laptop,0
S000133,2024-12-18,standard,paypal,27.0,M,UK,mobile,0
S000134,2026-05-21,basic,paypal,16.0,M,UK,laptop,0
S000135,2025-10-19,standard,voucher,29.0,M,UK,tv,0
S000136,2022-02-15,basic,debit_card,41.0,M,UK,tv,0
S000137,2024-08-18,premium,credit_card,38.0,M,UK,tablet,0
S000138,2025-11-19,standard,credit_card,34.0,F,UK,mobile,0
S000139,2026-02-18,premium,debit_card,43.0,F,UK,tablet,0
S000140,2025-08-19,basic,paypal,31.0,M,UK,mobile,0
S000141,2026-01-19,standard,debit_card,34.0,F,IE,tablet,0
S000142,2023-03-19,standard,debit_card,28.0,F,UK,tv,0
S000143,2024-11-18,premium,paypal,44.0,F,UK,tv,0
S000144,2024-11-18,standard,credit_card,37.0,other,UK,tablet,0
S000145,2022-12-17,standard,credit_card,27.0,M,UK,mobile,0
S000146,2024-12-18,basic,voucher,17.0,M,UK,tv,0
S000147,2021-06-16,basic,debit_card,46.0,,UK,tv,0
S000148,2025-10-19,standard,paypal,25.0,M,UK,tablet,0
S000149,2024-12-18,standard,voucher,34.0,F,UK,laptop,0
S000150,2026-01-19,basic,paypal,59.0,M,UK,tablet,0
S000151,2025-03-20,premium,debit_card,42.0,F,UK,tablet,0
S000152,2025-07-20,premium,debit_card,51.0,F,UK,tablet,0
S000153,2026-02-18,basic,debit_card,28.0,F,IE,tv,0
S000154,2025-12-19,standard,paypal,45.0,F,UK,mobile,0
S000155,2025-10-19,basic,credit_card,34.0,F,UK,mobile,0
S000156,2025-05-20,standard,debit_card,38.0,F,UK,laptop,0
S000157,2024-08-18,basic,paypal,56.0,F,UK,tv,0
S000158,2025-10-19,standard,credit_card,30.0,M,IE,laptop,0
S000159,2026-01-19,standard,debit_card,34.0,M,UK,tablet,0
S000160,2023-06-18,standard,credit_card,24.0,M,UK,tv,0
S000161,2022-03-18,basic,credit_card,43.0,F,UK,mobile,0
S000162,2025-07-20,premium,credit_card,27.0,F,UK,tv,0
S000163,2025-07-20,basic,debit_card,45.0,M,IE,mobile,0
S000164,2026-04-20,basic,credit_card,16.0,M,UK,mobile,1
S000165,2025-12-19,standard,debit_card,40.0,F,UK,tablet,1
S000166,2025-12-19,standard,credit_card,26.0,M,IE,mobile,0
S000167,2025-02-17,premium,credit_card,,M,UK,tablet,0
S000168,2026-03-21,premium,credit_card,33.0,M,UK,tv,0
S000169,2025-10-19,basic,paypal,28.0,M,UK,laptop,0
S000170,2024-06-18,premium,credit_card,29.0,F,UK,laptop,0
S000171,2024-09-18,basic,debit_card,24.0,M,UK,mobile,0
S000172,2025-11-19,standard,paypal,43.0,M,UK,tv,0
S000173,2026-03-21,basic,paypal,22.0,other,UK,laptop,0
S000174,2025-11-19,premium,debit_card,31.0,F,UK,tablet,0
S000175,2025-05-20,basic,paypal,37.0,F,UK,laptop,0
S000176,2025-04-19,basic,debit_card,51.0,F,UK,tv,0
S000177,2026-04-20,standard,debit_card,33.0,M,UK,tablet,0
S000178,2025-09-19,premium,credit_card,31.0,M,UK,tv,1
S000179,2023-08-18,premium,voucher,37.0,M,UK,mobile,0
S000180,2022-01-16,standard,paypal,16.0,M,UK,tablet,0
S000181,2021-12-16,premium,debit_card,20.0,M,UK,mobile,0
S000182,2026-04-20,premium,debit_card,29.0,F,UK,tv,1
S000183,2022-06-17,standard,debit_card,26.0,M,IE,mobile,0
S000184,2024-01-18,basic,credit_card,16.0,M,UK,tv,0
S000185,2024-11-18,premium,credit_card,43.0,F,UK,mobile,0
S000186,2025-06-19,standard,credit_card,36.0,M,UK,tv,0
S000187,2026-01-19,standard,paypal,35.0,F,UK,mobile,0
S000188,2025-01-18,basic,debit_card,26.0,M,IE,mobile,0
S000189,2026-03-21,standard,debit_card,34.0,F,UK,laptop,0
S000190,2026-04-20,basic,credit_card,39.0,,UK,mobile,0
S000191,2022-08-17,premium,paypal,31.0,F,UK,mobile,0
S000192,2025-12-19,basic,paypal,38.0,F,UK,laptop,0
S000193,2022-12-17,basic,paypal,25.0,M,UK,laptop,0
S000194,2026-02-18,premium,debit_card,35.0,M,UK,mobile,0
S000195,2025-12-19,basic,debit_card,,M,UK,mobile,0
S000196,2026-02-18,basic,debit_card,47.0,M,UK,tv,0
S000197,2025-08-19,standard,credit_card,48.0,F,UK,mobile,0
S000198,2023-06-18,premium,credit_card,37.0,M,IE,tablet,0
S000199,2022-11-17,basic,debit_card,34.0,M,UK,laptop,0
S000200,2025-05-20,basic,debit_card,29.0,F,IE,tv,0
S000201,2024-10-18,premium,debit_card,16.0,M,UK,tv,0
S000202,2026-04-20,premium,credit_card,19.0,F,UK,laptop,0
S000203,2026-04-20,standard,debit_card,32.0,M,UK,laptop,0
S000204,2023-12-18,basic,debit_card,32.0,F,IE,tablet,0
S000205,2025-08-19,basic,debit_card,49.0,M,UK,tv,0
S000206,2024-04-18,basic,paypal,48.0,F,IE,tablet,0
S000207,2025-08-19,basic,credit_card,26.0,,UK,mobile,0
S000208,2025-04-19,standard,debit_card,43.0,other,UK,tv,0
S000209,2024-12-18,basic,debit_card,28.0,,UK,tv,0
S000210,2025-06-19,standard,debit_card,41.0,F,UK,tv,0
S000211,2025-08-19,standard,paypal,42.0,M,UK,mobile,0
S000212,2025-08-19,standard,debit_card,47.0,M,UK,tv,0
S000213,2026-03-21,basic,paypal,28.0,F,UK,mobile,0
S000214,2024-08-18,premium,credit_card,45.0,F,UK,tv,0
S000215,2026-03-21,standard,paypal,16.0,F,UK,mobile,1
S000216,2026-01-19,standard,paypal,48.0,F,UK,laptop,0
S000217,2025-08-19,basic,credit_card,33.0,M,UK,tablet,0
S000218,2025-08-19,basic,debit_card,33.0,M,UK,tv,0
S000219,2025-09-19,premium,debit_card,16.0,M,UK,mobile,0
S000220,2023-10-18,standard,voucher,29.0,F,UK,tv,0
S000221,2025-11-19,basic,credit_card,48.0,F,IE,mobile,1
S000222,2023-04-18,standard,debit_card,29.0,M,UK,tv,0
S000223,2025-02-17,standard,debit_card,41.0,F,IE,laptop,0
S000224,2025-03-20,premium,credit_card,34.0,M,UK,tv,0
S000225,2024-12-18,basic,paypal,45.0,M,UK,laptop,0
S000226,2026-01-19,premium,paypal,36.0,M,UK,tablet,0
S000227,2025-01-18,basic,debit_card,23.0,F,UK,tv,0
S000228,2023-12-18,standard,paypal,34.0,M,UK,laptop,0
S000229,2024-09-18,standard,paypal,51.0,F,UK,mobile,0
S000230,2026-04-20,basic,paypal,39.0,F,UK,mobile,0
S000231,2025-09-19,basic,credit_card,,F,UK,tablet,0
S000232,2026-05-21,standard,paypal,58.0,F,UK,tv,0
S000233,2025-09-19,premium,credit_card,46.0,M,UK,tv,0
S000234,2026-03-21,standard,debit_card,42.0,M,UK,laptop,0
S000235,2025-06-19,premium,voucher,37.0,M,UK,tv,0
S000236,2026-05-21,premium,credit_card,42.0,F,UK,laptop,1
S000237,2022-04-17,standard,credit_card,42.0,M,UK,tv,0
S000238,2025-10-19,premium,paypal,16.0,F,UK,mobile,0
S000239,2024-04-18,basic,credit_card,38.0,F,UK,mobile,0
S000240,2026-01-19,basic,credit_card,32.0,F,IE,mobile,1
S000241,2024-07-19,premium,credit_card,28.0,M,UK,laptop,0
S000242,2025-10-19,premium,paypal,31.0,F,UK,tv,0
S000243,2024-12-18,basic,debit_card,16.0,M,UK,mobile,0
S000244,2022-04-17,standard,debit_card,16.0,F,UK,tv,0
S000245,2024-10-18,standard,paypal,47.0,F,UK,tv,0
S000246,2026-03-21,premium,paypal,39.0,M,UK,tv,0
S000247,2023-01-17,standard,debit_card,16.0,F,UK,mobile,0
S000248,2024-06-18,standard,credit_card,27.0,F,UK,mobile,0
S000249,2023-06-18,standard,paypal,43.0,F,UK,tv,0
S000250,2023-01-17,standard,credit_card,30.0,M,UK,laptop,0
S000251,2025-12-19,standard,paypal,47.0,M,UK,tv,0
S000252,2025-10-19,premium,credit_card,45.0,M,UK,tablet,0
S000253,2024-04-18,standard,paypal,19.0,F,UK,tv,0
S000254,2026-04-20,basic,paypal,32.0,M,UK,mobile,0
S000255,2025-11-19,basic,credit_card,29.0,other,UK,tv,0
S000256,2025-10-19,standard,credit_card,18.0,other,UK,mobile,0
S000257,2023-05-19,premium,credit_card,18.0,M,UK,tablet,0
S000258,2022-02-15,basic,credit_card,25.0,F,UK,tablet,0
S000259,2026-03-21,basic,debit_card,26.0,M,UK,tv,0
S000260,2025-05-20,standard,credit_card,37.0,M,UK,tablet,0
S000261,2024-06-18,basic,credit_card,45.0,M,UK,mobile,0
S000262,2025-10-19,premium,debit_card,39.0,F,UK,tv,0
S000263,2025-04-19,basic,credit_card,42.0,F,UK,mobile,0
S000264,2026-01-19,basic,paypal,31.0,M,UK,laptop,0
S000265,2024-03-19,premium,credit_card,40.0,M,UK,tv,0
S000266,2024-04-18,basic,credit_card,32.0,M,UK,mobile,0
S000267,2025-07-20,basic,credit_card,29.0,F,IE,tablet,0
S000268,2025-10-19,basic,credit_card,54.0,M,UK,mobile,0
S000269,2025-12-19,basic,credit_card,16.0,F,UK,mobile,0
S000270,2026-04-20,basic,credit_card,16.0,F,UK,tv,0
S000271,2025-03-20,basic,credit_card,38.0,M,UK,tv,0
S000272,2023-04-18,basic,debit_card,31.0,F,UK,mobile,0
S000273,2026-03-21,basic,debit_card,18.0,F,UK,mobile,0
S000274,2025-08-19,standard,debit_card,22.0,F,UK,tv,0
S000275,2023-03-19,standard,paypal,23.0,F,IE,mobile,0
S000276,2023-11-18,standard,debit_card,43.0,F,UK,mobile,0
S000277,2024-06-18,basic,credit_card,47.0,F,UK,tv,0
S000278,2026-05-21,standard,debit_card,52.0,M,IE,tablet,0
S000279,2024-09-18,premium,debit_card,16.0,F,UK,mobile,0
S000280,2025-11-19,premium,debit_card,18.0,M,UK,mobile,0
S000281,2024-04-18,basic,credit_card,18.0,M,UK,mobile,0
S000282,2026-01-19,basic,paypal,48.0,F,UK,tv,0
S000283,2026-05-21,basic,credit_card,38.0,M,UK,mobile,0
S000284,2025-05-20,basic,credit_card,34.0,M,UK,tablet,0
S000285,2025-11-19,standard,paypal,36.0,,UK,tablet,1
S000286,2025-02-17,standard,voucher,33.0,F,UK,tablet,0
S000287,2025-12-19,basic,paypal,21.0,,UK,tv,0
S000288,2024-03-19,standard,voucher,39.0,M,IE,tablet,0
S000289,2025-05-20,standard,debit_card,31.0,F,UK,tv,0
S000290,2025-12-19,basic,debit_card,20.0,F,UK,tv,0
S000291,2024-07-19,premium,credit_card,40.0,M,UK,tv,0
S000292,2022-11-17,basic,debit_card,29.0,F,UK,tablet,0
S000293,2022-12-17,premium,paypal,36.0,M,UK,mobile,0
S000294,2021-06-16,basic,credit_card,32.0,F,UK,tablet,0
S000295,2024-08-18,premium,credit_card,43.0,F,UK,mobile,0
S000296,2024-12-18,premium,paypal,36.0,M,UK,laptop,0
S000297,2026-04-20,premium,credit_card,24.0,F,IE,mobile,1
S000298,2026-01-19,premium,credit_card,37.0,M,UK,mobile,0
S000299,2025-11-19,premium,paypal,37.0,F,UK,tv,0
S000300,2025-04-19,standard,credit_card,39.0,M,IE,mobile,0
S000301,2023-10-18,premium,paypal,45.0,F,UK,mobile,0
S000302,2025-07-20,basic,credit_card,27.0,F,IE,tv,0
S000303,2025-12-19,standard,credit_card,41.0,M,UK,tv,0
S000304,2025-09-19,standard,credit_card,16.0,F,UK,tv,0
S000305,2026-05-21,premium,credit_card,32.0,M,UK,tv,0
S000306,2025-12-19,standard,debit_card,30.0,F,UK,mobile,0
S000307,2026-05-21,standard,debit_card,49.0,F,UK,mobile,0
S000308,2025-04-19,standard,debit_card,32.0,M,UK,laptop,0
S000309,2022-06-17,basic,debit_card,40.0,M,UK,mobile,0
S000310,2025-08-19,basic,credit_card,16.0,M,UK,tablet,0
S000311,2024-04-18,standard,debit_card,30.0,F,UK,mobile,0
S000312,2024-09-18,standard,credit_card,24.0,F,UK,mobile,0
S000313,2024-12-18,basic,credit_card,61.0,M,UK,tv,1
S000314,2023-09-18,standard,voucher,26.0,M,UK,mobile,0
S000315,2025-02-17,standard,paypal,34.0,F,UK,tv,0
S000316,2024-12-18,basic,credit_card,35.0,M,UK,mobile,0
S000317,2025-10-19,standard,credit_card,16.0,M,UK,tv,0
S000318,2024-05-19,standard,debit_card,,F,UK,mobile,0
S000319,2026-02-18,basic,debit_card,38.0,M,UK,laptop,0
S000320,2024-07-19,premium,paypal,34.0,F,UK,mobile,0
S000321,2021-06-16,premium,debit_card,16.0,M,UK,tv,0
S000322,2025-12-19,standard,credit_card,27.0,F,UK,mobile,0
S000323,2024-05-19,basic,debit_card,45.0,M,UK,mobile,0
S000324,2024-04-18,standard,credit_card,,M,UK,laptop,0
S000325,2026-04-20,premium,debit_card,47.0,M,UK,tablet,0
S000326,2024-09-18,standard,debit_card,23.0,other,UK,tv,0
S000327,2025-05-20,premium,paypal,48.0,F,IE,laptop,0
S000328,2025-06-19,standard,credit_card,33.0,M,UK,tv,0
S000329,2023-04-18,standard,debit_card,51.0,F,UK,tv,0
S000330,2025-11-19,basic,credit_card,34.0,M,UK,tv,0
S000331,2021-06-16,standard,paypal,16.0,M,UK,tv,0
S000332,2025-05-20,basic,credit_card,43.0,M,UK,mobile,0
S000333,2026-04-20,standard,credit_card,29.0,F,UK,tv,0
S000334,2026-04-20,premium,credit_card,29.0,M,UK,tv,0
S000335,2023-10-18,basic,paypal,18.0,M,UK,tv,0
S000336,2024-03-19,standard,credit_card,51.0,F,UK,laptop,0
S000337,2024-08-18,basic,debit_card,28.0,F,IE,tablet,0
S000338,2026-04-20,standard,credit_card,51.0,M,IE,mobile,1
S000339,2024-11-18,basic,debit_card,29.0,F,UK,tablet,0
S000340,2021-06-16,premium,voucher,23.0,M,UK,mobile,1
S000341,2024-04-18,basic,credit_card,48.0,F,UK,tv,0
S000342,2025-12-19,premium,debit_card,33.0,M,IE,laptop,0
S000343,2024-03-19,premium,credit_card,33.0,F,UK,mobile,0
S000344,2026-04-20,standard,debit_card,19.0,F,UK,mobile,0
S000345,2025-11-19,premium,credit_card,28.0,M,UK,laptop,0
S000346,2022-11-17,premium,credit_card,38.0,M,UK,tv,0
S000347,2024-02-17,premium,paypal,19.0,M,UK,tv,0
S000348,2024-02-17,basic,credit_card,28.0,F,UK,laptop,0
S000349,2024-10-18,standard,credit_card,29.0,F,UK,mobile,0
S000350,2023-05-19,basic,credit_card,34.0,F,UK,mobile,0
S000351,2025-11-19,standard,debit_card,50.0,other,UK,laptop,0
S000352,2022-04-17,basic,voucher,30.0,F,UK,laptop,0
S000353,2024-02-17,standard,paypal,,other,UK,laptop,0
S000354,2026-04-20,standard,paypal,64.0,F,UK,tv,0
S000355,2023-11-18,standard,paypal,29.0,M,UK,tablet,0
S000356,2025-02-17,standard,debit_card,31.0,F,UK,mobile,0
S000357,2025-03-20,standard,debit_card,30.0,M,UK,mobile,0
S000358,2023-11-18,premium,debit_card,30.0,M,UK,tv,0
S000359,2025-09-19,standard,paypal,,M,UK,mobile,0
S000360,2026-04-20,standard,credit_card,44.0,M,UK,tv,0
S000361,2021-07-17,premium,debit_card,38.0,F,UK,laptop,0
S000362,2021-07-17,basic,paypal,45.0,M,UK,mobile,0
S000363,2024-03-19,basic,credit_card,45.0,M,UK,mobile,0
S000364,2024-02-17,basic,paypal,36.0,F,UK,tv,0
S000365,2023-12-18,standard,paypal,38.0,F,IE,mobile,0
S000366,2021-06-16,standard,debit_card,46.0,M,UK,mobile,0
S000367,2026-04-20,premium,paypal,21.0,M,UK,tablet,0
S000368,2026-05-21,standard,credit_card,61.0,M,UK,mobile,0
S000369,2025-12-19,basic,paypal,28.0,F,UK,tv,0
S000370,2025-01-18,premium,credit_card,30.0,M,UK,mobile,0
S000371,2024-04-18,standard,credit_card,20.0,F,UK,tv,0
S000372,2025-04-19,basic,debit_card,20.0,M,UK,mobile,0
S000373,2024-09-18,standard,paypal,44.0,F,UK,mobile,0
S000374,2025-07-20,basic,debit_card,58.0,M,UK,tv,0
S000375,2025-06-19,basic,debit_card,27.0,F,UK,tv,0
S000376,2025-09-19,basic,paypal,37.0,M,UK,mobile,0
S000377,2025-01-18,premium,debit_card,36.0,M,UK,mobile,0
S000378,2026-03-21,standard,paypal,45.0,other,UK,tv,0
S000379,2026-04-20,standard,credit_card,58.0,F,UK,mobile,0
S000380,2025-05-20,standard,voucher,50.0,M,UK,mobile,0
S000381,2025-10-19,standard,paypal,31.0,F,UK,tv,0
S000382,2025-10-19,premium,paypal,39.0,M,UK,tv,0
S000383,2022-12-17,premium,credit_card,40.0,F,UK,tv,0
S000384,2021-06-16,standard,paypal,33.0,,UK,tablet,0
S000385,2024-12-18,standard,credit_card,21.0,M,UK,tv,0
S000386,2026-02-18,premium,credit_card,25.0,M,UK,laptop,0
S000387,2024-02-17,standard,debit_card,46.0,M,UK,mobile,0
S000388,2025-03-20,premium,paypal,47.0,F,UK,tablet,0
S000389,2024-04-18,basic,voucher,31.0,M,UK,laptop,0
S000390,2024-11-18,premium,debit_card,36.0,M,IE,tv,0
S000391,2026-03-21,standard,paypal,47.0,F,UK,mobile,0
S000392,2024-10-18,basic,debit_card,16.0,M,UK,tv,0
S000393,2024-11-18,standard,credit_card,29.0,M,UK,tv,0
S000394,2021-06-16,standard,debit_card,56.0,F,IE,tablet,0
S000395,2022-10-17,basic,credit_card,37.0,M,UK,tv,0
S000396,2021-06-16,standard,debit_card,21.0,,UK,laptop,0
S000397,2022-02-15,premium,credit_card,35.0,F,UK,tablet,0
S000398,2026-03-21,basic,credit_card,45.0,M,UK,mobile,0
S000399,2026-04-20,standard,debit_card,16.0,F,UK,mobile,0
S000400,2023-04-18,standard,debit_card,35.0,M,UK,tablet,0
S000401,2024-02-17,basic,paypal,29.0,F,UK,tv,0
S000402,2026-04-20,premium,debit_card,16.0,F,UK,tablet,0
S000403,2026-03-21,premium,credit_card,34.0,F,UK,tv,0
S000404,2024-07-19,basic,paypal,32.0,M,UK,tv,0
S000405,2025-07-20,premium,credit_card,33.0,,UK,tv,0
S000406,2024-05-19,premium,paypal,,M,UK,tv,0
S000407,2025-10-19,basic,debit_card,22.0,F,UK,tv,0
S000408,2025-12-19,premium,credit_card,17.0,M,UK,tablet,0
S000409,2021-07-17,basic,debit_card,26.0,F,UK,mobile,0
S000410,2025-10-19,premium,paypal,43.0,F,UK,laptop,0
S000411,2022-10-17,standard,credit_card,,M,UK,tablet,0
S000412,2025-11-19,standard,voucher,33.0,M,UK,tablet,0
S000413,2026-05-21,basic,debit_card,22.0,F,UK,laptop,1
S000414,2026-05-21,premium,credit_card,29.0,F,IE,tablet,1
S000415,2025-05-20,basic,debit_card,42.0,F,UK,tv,0
S000416,2024-08-18,basic,paypal,39.0,M,UK,tv,0
S000417,2026-04-20,basic,debit_card,28.0,F,UK,mobile,0
S000418,2025-09-19,premium,credit_card,16.0,M,IE,tv,0
S000419,2025-07-20,basic,paypal,26.0,F,UK,laptop,0
