ticket_id,subscriber_id,ticket_date,category,resolved,resolution_days
T0000185,S000154,2025-12-28,other,0,
T0000186,S000154,2026-01-06,cancellation_intent,0,
T0000187,S000154,2026-05-04,billing,1,1.1
T0000188,S000155,2026-05-17,technical,0,
T0000189,S000156,2025-12-31,other,0,
T0000190,S000156,2026-03-09,other,0,
T0000191,S000158,2026-01-05,technical,0,
T0000192,S000158,2026-03-01,billing,1,1.8
T0000193,S000159,2026-01-09,technical,0,
T0000194,S000162,2026-04-20,cancellation_intent,0,
T0000195,S000162,2026-06-02,technical,1,3.5
T0000196,S000163,2026-03-12,other,1,5.5
T0000197,S000164,2026-01-17,cancellation_intent,1,0.5
T0000198,S000164,2026-02-22,cancellation_intent,1,2.2
T0000199,S000166,2026-01-12,cancellation_intent,0,
T0000200,S000166,2026-01-26,cancellation_intent,1,0.5
T0000201,S000167,2026-04-25,technical,1,0.7
T0000202,S000168,2026-04-23,billing,0,
T0000203,S000169,2026-04-01,cancellation_intent,1,3.9
T0000204,S000169,2026-05-27,content,1,0.5
T0000205,S000170,2026-04-09,technical,1,7.1
T0000206,S000172,2026-02-04,billing,1,0.5
T0000207,S000172,2026-05-31,other,1,0.7
T0000208,S000173,2026-02-07,cancellation_intent,1,2.6
T0000209,S000173,2026-03-26,other,1,0.5
T0000210,S000178,2026-03-04,technical,1,1.9
T0000211,S000178,2026-05-24,other,0,
T0000212,S000179,2026-04-08,content,1,2.4
T0000213,S000182,2026-02-09,cancellation_intent,0,
T0000214,S000182,2026-03-30,cancellation_intent,0,
T0000215,S000182,2026-05-31,cancellation_intent,1,6.4
T0000216,S000186,2026-01-05,cancellation_intent,1,7.3
T0000217,S000186,2026-01-23,billing,1,2.3
T0000218,S000188,2026-02-01,content,1,3.8
T0000219,S000188,2026-05-28,technical,1,1.1
T0000220,S000188,2026-06-17,technical,1,0.8
T0000221,S000189,2026-06-15,content,0,
T0000222,S000190,2026-01-09,billing,1,2.5
T0000223,S000190,2026-04-20,cancellation_intent,0,
T0000224,S000191,2026-06-12,billing,1,3.2
T0000225,S000192,2026-01-13,content,1,2.3
T0000226,S000192,2026-01-17,cancellation_intent,0,
T0000227,S000192,2026-03-03,cancellation_intent,1,2.3
T0000228,S000192,2026-03-22,other,1,4.5
T0000229,S000193,2026-03-14,technical,1,1.6
T0000230,S000193,2026-04-06,technical,1,1.5
T0000231,S000196,2026-04-19,billing,1,0.5
T0000232,S000197,2026-05-04,other,1,0.6
T0000233,S000198,2026-03-12,billing,0,
T0000234,S000198,2026-04-08,technical,1,3.6
T0000235,S000200,2026-05-08,content,1,4.3
T0000236,S000200,2026-06-16,other,1,5.0
T0000237,S000201,2025-12-26,other,1,0.7
T0000238,S000202,2026-03-04,other,0,
T0000239,S000203,2026-04-20,cancellation_intent,1,1.2
T0000240,S000204,2026-05-19,other,1,5.3
T0000241,S000204,2026-06-19,billing,1,6.9
T0000242,S000205,2026-01-15,other,1,1.8
T0000243,S000205,2026-03-17,other,1,0.5
T0000244,S000205,2026-06-16,content,0,
T0000245,S000207,2026-01-01,billing,1,1.0
T0000246,S000207,2026-01-02,technical,1,4.2
T0000247,S000207,2026-04-20,technical,1,2.6
T0000248,S000208,2026-01-06,technical,1,0.5
T0000249,S000210,2025-12-31,cancellation_intent,0,
T0000250,S000210,2026-05-03,content,0,
T0000251,S000211,2026-04-07,billing,1,0.7
T0000252,S000211,2026-04-27,technical,1,2.2
T0000253,S000212,2025-12-25,other,1,4.4
T0000254,S000212,2026-03-25,technical,0,
T0000255,S000212,2026-04-09,technical,1,4.9
T0000256,S000212,2026-04-23,billing,0,
T0000257,S000213,2026-02-12,billing,0,
T0000258,S000213,2026-04-27,billing,1,7.7
T0000259,S000214,2026-01-19,other,1,1.5
T0000260,S000214,2026-02-20,other,1,1.3
T0000261,S000215,2025-12-30,cancellation_intent,0,
T0000262,S000215,2026-03-27,cancellation_intent,0,
T0000263,S000215,2026-06-08,content,1,4.9
T0000264,S000216,2026-04-10,billing,1,2.0
T0000265,S000216,2026-04-11,cancellation_intent,0,
T0000266,S000218,2025-12-23,technical,1,0.8
T0000267,S000220,2026-01-23,other,1,3.1
T0000268,S000221,2025-12-24,billing,1,1.0
T0000269,S000224,2026-06-19,billing,0,
T0000270,S000226,2026-01-18,other,1,1.6
T0000271,S000226,2026-01-21,technical,0,
T0000272,S000226,2026-01-31,cancellation_intent,1,4.6
T0000273,S000227,2026-02-27,other,0,
T0000274,S000227,2026-06-15,other,0,
T0000275,S000229,2026-02-06,other,1,9.1
T0000276,S000230,2026-03-07,cancellation_intent,1,1.5
T0000277,S000232,2026-02-18,billing,0,
T0000278,S000232,2026-05-21,billing,1,3.7
T0000279,S000232,2026-06-19,billing,1,
T0000280,S000233,2026-03-26,billing,0,
T0000281,S000234,2026-01-15,billing,1,0.5
T0000282,S000234,2026-01-25,cancellation_intent,1,0.5
T0000283,S000235,2026-04-23,billing,1,1.8
T0000284,S000235,2026-05-10,technical,1,6.9
T0000285,S000236,2025-12-25,technical,1,0.6
T0000286,S000236,2026-01-31,cancellation_intent,1,3.4
T0000287,S000236,2026-04-20,cancellation_intent,0,
T0000288,S000238,2026-01-17,cancellation_intent,1,1.6
T0000289,S000238,2026-04-27,cancellation_intent,1,
T0000290,S000240,2026-01-03,billing,1,1.9
T0000291,S000240,2026-01-23,content,0,
T0000292,S000240,2026-02-09,cancellation_intent,1,1.1
T0000293,S000240,2026-04-06,billing,1,0.5
T0000294,S000240,2026-04-11,cancellation_intent,1,
T0000295,S000240,2026-04-20,cancellation_intent,0,
T0000296,S000240,2026-04-21,technical,0,
T0000297,S000240,2026-06-11,billing,1,0.5
T0000298,S000241,2026-01-05,content,1,8.1
T0000299,S000241,2026-02-10,other,1,11.4
T0000300,S000241,2026-05-10,billing,1,5.0
T0000301,S000242,2026-05-23,cancellation_intent,0,
T0000302,S000243,2026-01-27,other,1,8.2
T0000303,S000243,2026-03-06,other,1,3.9
T0000304,S000243,2026-03-29,content,0,
T0000305,S000244,2026-03-08,content,1,1.2
T0000306,S000245,2026-01-25,billing,0,
T0000307,S000246,2026-03-12,other,1,
T0000308,S000246,2026-04-19,billing,1,2.9
T0000309,S000251,2026-01-07,content,1,6.2
T0000310,S000251,2026-04-10,cancellation_intent,0,
T0000311,S000252,2026-02-27,billing,0,
T0000312,S000253,2025-12-26,content,1,2.6
T0000313,S000254,2026-04-18,technical,0,
T0000314,S000255,2026-01-11,technical,1,0.9
T0000315,S000255,2026-01-14,billing,0,
T0000316,S000255,2026-01-30,other,1,0.5
T0000317,S000255,2026-02-16,billing,1,9.7
T0000318,S000255,2026-05-17,technical,0,
T0000319,S000256,2026-01-21,other,0,
T0000320,S000256,2026-01-29,billing,1,0.7
T0000321,S000259,2026-01-16,billing,1,2.6
T0000322,S000259,2026-04-05,billing,0,
T0000323,S000259,2026-05-27,cancellation_intent,0,
T0000324,S000261,2026-03-11,technical,1,5.2
T0000325,S000262,2026-01-08,cancellation_intent,0,
T0000326,S000262,2026-02-11,content,0,
T0000327,S000262,2026-04-18,billing,0,
T0000328,S000262,2026-04-28,billing,1,0.5
T0000329,S000264,2026-04-09,billing,1,
T0000330,S000267,2025-12-23,other,1,0.9
T0000331,S000267,2026-01-18,content,0,
T0000332,S000267,2026-01-27,content,1,0.5
T0000333,S000268,2026-03-28,billing,0,
T0000334,S000268,2026-03-29,cancellation_intent,1,1.9
T0000335,S000268,2026-05-04,technical,0,
T0000336,S000269,2026-03-20,billing,1,
T0000337,S000270,2026-01-01,cancellation_intent,1,1.5
T0000338,S000270,2026-05-07,content,0,
T0000339,S000271,2026-05-04,technical,0,
T0000340,S000271,2026-05-10,technical,1,8.0
T0000341,S000273,2026-02-28,content,1,0.6
T0000342,S000273,2026-03-29,other,1,3.2
T0000343,S000273,2026-04-01,billing,0,
T0000344,S000273,2026-06-12,technical,0,
T0000345,S000274,2026-01-29,technical,0,
T0000346,S000274,2026-03-19,content,1,1.7
T0000347,S000275,2026-02-27,billing,1,0.5
T0000348,S000278,2025-12-27,billing,1,2.8
T0000349,S000279,2026-05-04,billing,1,0.6
T0000350,S000280,2026-01-11,billing,1,3.9
T0000351,S000280,2026-02-17,other,0,
T0000352,S000280,2026-03-19,billing,1,0.5
T0000353,S000280,2026-04-28,other,1,1.2
T0000354,S000281,2026-01-15,billing,0,
T0000355,S000283,2025-12-26,other,1,0.5
T0000356,S000283,2026-03-18,other,1,1.8
T0000357,S000283,2026-05-18,other,0,
T0000358,S000283,2026-06-02,billing,1,1.4
T0000359,S000284,2026-01-26,billing,1,0.5
T0000360,S000284,2026-01-29,billing,0,
T0000361,S000285,2025-12-26,cancellation_intent,0,
T0000362,S000285,2026-02-12,other,1,0.5
T0000363,S000285,2026-02-18,cancellation_intent,0,
T0000364,S000285,2026-04-27,cancellation_intent,1,2.9
T0000365,S000286,2026-04-25,technical,1,2.3
T0000366,S000287,2026-01-18,cancellation_intent,1,3.5
T0000367,S000287,2026-05-07,billing,1,1.5
T0000368,S000291,2026-03-18,billing,0,
T0000369,S000292,2026-05-15,other,1,0.5
T0000370,S000296,2026-06-06,technical,1,
T0000371,S000296,2026-06-12,technical,1,1.2
T0000372,S000297,2026-03-23,technical,1,0.9
T0000373,S000297,2026-03-28,other,0,
T0000374,S000297,2026-05-12,billing,1,2.7
T0000375,S000297,2026-05-24,content,0,
T0000376,S000297,2026-05-25,cancellation_intent,0,
T0000377,S000297,2026-06-06,cancellation_intent,0,
T0000378,S000298,2026-01-02,technical,1,1.0
T0000379,S000298,2026-01-29,cancellation_intent,0,
T0000380,S000299,2026-01-08,other,1,3.5
T0000381,S000299,2026-02-10,cancellation_intent,1,1.4
T0000382,S000299,2026-03-24,cancellation_intent,1,
T0000383,S000299,2026-06-08,billing,1,2.2
T0000384,S000300,2026-05-26,billing,1,2.5
T0000385,S000301,2025-12-22,technical,1,0.6
T0000386,S000301,2026-03-12,other,1,4.9
T0000387,S000301,2026-04-09,technical,0,
T0000388,S000302,2026-02-27,technical,1,0.5
T0000389,S000302,2026-05-04,billing,1,2.3
T0000390,S000303,2025-12-22,content,1,0.7
T0000391,S000303,2026-01-20,technical,1,0.7
T0000392,S000304,2026-04-01,cancellation_intent,1,0.5
T0000393,S000304,2026-06-12,cancellation_intent,1,
T0000394,S000305,2026-03-15,technical,1,6.8
T0000395,S000306,2026-02-07,other,1,
T0000396,S000306,2026-02-12,cancellation_intent,1,0.5
T0000397,S000306,2026-02-15,billing,0,
T0000398,S000307,2026-01-08,technical,0,
T0000399,S000307,2026-02-14,billing,0,
T0000400,S000307,2026-02-15,billing,1,1.7
T0000401,S000307,2026-04-19,cancellation_intent,1,0.5
T0000402,S000308,2026-02-03,technical,1,10.3
T0000403,S000310,2026-02-10,other,1,1.2
T0000404,S000313,2026-06-06,cancellation_intent,1,1.9
T0000405,S000315,2026-03-08,content,1,2.4
T0000406,S000316,2026-02-18,technical,1,0.5
T0000407,S000319,2026-01-18,content,1,0.9
T0000408,S000321,2026-05-17,content,1,
T0000409,S000322,2026-04-13,billing,1,1.9
T0000410,S000322,2026-05-19,content,1,5.0
T0000411,S000327,2026-01-16,technical,1,0.5
T0000412,S000328,2026-02-13,content,1,0.6
T0000413,S000329,2026-05-07,technical,0,
T0000414,S000330,2026-05-07,billing,1,3.0
T0000415,S000332,2026-01-12,other,1,0.5
T0000416,S000336,2026-06-12,technical,1,4.8
T0000417,S000337,2026-06-06,content,1,2.7
T0000418,S000338,2026-01-15,billing,1,0.5
T0000419,S000338,2026-04-03,cancellation_intent,1,1.8
T0000420,S000338,2026-04-15,billing,1,4.2
T0000421,S000339,2026-06-07,other,1,0.6
T0000422,S000340,2026-06-02,technical,0,
T0000423,S000341,2026-05-15,technical,1,1.3
T0000424,S000342,2025-12-22,billing,1,7.4
T0000425,S000342,2026-03-15,billing,1,7.9
T0000426,S000343,2026-05-20,content,1,0.5
T0000427,S000344,2025-12-22,content,0,
T0000428,S000344,2026-02-21,billing,1,5.2
T0000429,S000344,2026-03-23,other,0,
T0000430,S000345,2026-01-19,technical,1,0.5
T0000431,S000345,2026-06-09,other,1,1.0
T0000432,S000346,2026-01-04,other,1,0.5
T0000433,S000347,2026-03-26,other,0,
T0000434,S000347,2026-05-16,other,1,6.0
T0000435,S000349,2026-03-29,other,0,
T0000436,S000350,2026-03-26,other,1,4.9
T0000437,S000351,2026-03-25,technical,0,
T0000438,S000351,2026-04-16,content,1,0.6
T0000439,S000351,2026-06-17,billing,1,1.7
T0000440,S000353,2026-02-13,billing,1,1.2
T0000441,S000354,2026-05-30,billing,0,
T0000442,S000354,2026-06-07,technical,0,
T0000443,S000356,2025-12-24,billing,1,1.6
T0000444,S000356,2026-01-30,other,1,0.5
T0000445,S000356,2026-03-05,technical,1,0.8
T0000446,S000357,2026-04-07,other,0,
T0000447,S000359,2026-01-15,cancellation_intent,0,
T0000448,S000359,2026-02-20,billing,1,1.0
T0000449,S000360,2026-02-27,cancellation_intent,1,0.5
T0000450,S000361,2026-03-20,content,1,8.8
T0000451,S000361,2026-06-06,other,1,0.7
T0000452,S000364,2026-03-06,technical,1,9.9
T0000453,S000364,2026-05-28,other,1,1.5
T0000454,S000364,2026-06-03,content,1,6.9
T0000455,S000365,2026-01-27,billing,1,1.5
T0000456,S000367,2026-01-17,technical,0,
T0000457,S000367,2026-01-21,billing,0,
T0000458,S000367,2026-03-16,billing,0,
T0000459,S000368,2026-03-07,other,1,6.2
T0000460,S000368,2026-03-11,other,1,2.5
T0000461,S000368,2026-05-04,cancellation_intent,1,0.5
T0000462,S000369,2026-04-03,other,0,
T0000463,S000370,2026-03-14,content,1,6.8
T0000464,S000370,2026-06-17,billing,1,0.5
T0000465,S000371,2026-04-27,technical,1,3.0
T0000466,S000373,2026-01-06,billing,1,0.5
T0000467,S000373,2026-03-20,technical,1,0.9
T0000468,S000374,2026-05-20,content,0,
T0000469,S000375,2026-04-17,billing,1,0.5
T0000470,S000375,2026-04-23,billing,1,0.5
T0000471,S000376,2026-02-06,billing,1,3.4
T0000472,S000378,2026-02-22,other,1,4.2
T0000473,S000379,2026-01-01,cancellation_intent,1,4.9
T0000474,S000379,2026-03-02,technical,0,
T0000475,S000379,2026-04-08,billing,0,
T0000476,S000380,2026-03-30,technical,1,1.4
T0000477,S000380,2026-05-27,other,1,4.4
T0000478,S000381,2026-05-12,billing,0,
T0000479,S000382,2025-12-29,cancellation_intent,1,1.3
T0000480,S000382,2026-01-10,billing,1,0.9
T0000481,S000382,2026-04-05,billing,1,
T0000482,S000383,2026-05-18,content,1,0.5
T0000483,S000386,2026-02-03,other,0,
T0000484,S000386,2026-03-05,billing,0,
T0000485,S000387,2025-12-29,technical,1,12.7
T0000486,S000387,2026-03-23,content,1,
T0000487,S000388,2026-04-12,other,1,3.8
T0000488,S000390,2026-03-28,billing,1,0.5
T0000489,S000390,2026-04-05,content,1,1.7
T0000490,S000393,2026-01-04,technical,1,
T0000491,S000393,2026-02-12,content,1,1.7
T0000492,S000393,2026-03-22,billing,1,2.0
T0000493,S000394,2026-06-12,other,0,
T0000494,S000396,2026-01-16,other,0,
T0000495,S000397,2026-05-08,other,0,
T0000496,S000397,2026-05-14,billing,1,1.5
T0000497,S000398,2026-05-07,content,1,0.7
T0000498,S000399,2026-01-10,other,1,8.4
T0000499,S000402,2026-04-26,technical,1,1.4
T0000500,S000402,2026-05-17,technical,1,0.5
T0000501,S000403,2026-01-23,content,0,
T0000502,S000403,2026-06-01,content,1,5.3
T0000503,S000404,2026-01-11,billing,1,0.6
T0000504,S000405,2025-12-23,billing,1,6.0
T0000505,S000405,2026-02-07,billing,0,
T0000506,S000405,2026-03-12,billing,0,
T0000507,S000406,2026-05-26,content,0,
T0000508,S000407,2026-06-06,content,1,3.8
T0000509,S000408,2026-01-02,cancellation_intent,1,1.2
T0000510,S000408,2026-02-17,content,1,1.4
T0000511,S000408,2026-02-21,billing,1,0.6
T0000512,S000408,2026-04-07,cancellation_intent,1,2.9
T0000513,S000408,2026-05-13,technical,1,0.5
T0000514,S000410,2026-02-27,other,1,
T0000515,S000412,2026-03-27,other,1,3.6
T0000516,S000412,2026-05-07,billing,1,3.2
T0000517,S000413,2026-01-20,cancellation_intent,0,
T0000518,S000413,2026-03-19,billing,0,
T0000519,S000413,2026-05-04,cancellation_intent,1,1.1
T0000520,S000414,2026-02-17,cancellation_intent,0,
T0000521,S000414,2026-05-18,cancellation_intent,1,0.8
T0000522,S000414,2026-06-09,billing,1,1.0
T0000523,S000417,2026-02-08,cancellation_intent,1,
T0000524,S000418,2026-01-20,other,1,0.8
T0000525,S000419,2025-12-23,other,1,5.9
T0000526,S000420,2025-12-24,billing,1,0.5
T0000527,S000420,2026-01-10,billing,0,
T0000528,S000420,2026-02-13,billing,1,1.4
T0000529,S000420,2026-03-19,content,0,
T0000530,S000420,2026-05-21,technical,1,0.5
T0000531,S000422,2026-03-04,content,0,
T0000532,S000423,2026-03-31,billing,1,3.0
T0000533,S000423,2026-06-14,other,0,
T0000534,S000424,2026-01-19,other,1,
T0000535,S000425,2026-03-14,billing,1,0.5
T0000536,S000425,2026-05-13,billing,0,
T0000537,S000426,2026-02-15,content,1,
T0000538,S000427,2026-02-19,cancellation_intent,1,2.3
T0000539,S000428,2026-05-21,other,1,2.2
T0000540,S000428,2026-06-17,cancellation_intent,1,3.5
T0000541,S000430,2026-01-28,content,1,0.8
T0000542,S000431,2026-03-11,content,1,0.5
T0000543,S000431,2026-04-28,other,1,0.7
T0000544,S000433,2026-01-08,technical,1,4.9
T0000545,S000434,2026-05-02,cancellation_intent,0,
T0000546,S000435,2026-03-04,cancellation_intent,0,
T0000547,S000435,2026-03-29,technical,0,
T0000548,S000437,2026-01-16,other,1,2.4
T0000549,S000437,2026-01-18,other,0,
T0000550,S000437,2026-03-10,technical,0,
T0000551,S000437,2026-03-11,billing,1,0.9
T0000552,S000438,2026-01-09,cancellation_intent,1,1.5
T0000553,S000438,2026-04-06,content,1,1.6
T0000554,S000438,2026-05-22,billing,1,1.5
T0000555,S000440,2026-05-14,billing,1,0.6
T0000556,S000441,2026-01-17,technical,0,
T0000557,S000441,2026-01-23,cancellation_intent,1,9.1
T0000558,S000441,2026-02-05,billing,1,0.5
T0000559,S000442,2026-03-23,billing,1,1.8
T0000560,S000444,2026-03-19,billing,1,
T0000561,S000447,2026-02-26,billing,1,0.7
T0000562,S000447,2026-03-04,technical,1,0.6
T0000563,S000447,2026-04-26,content,0,
T0000564,S000447,2026-05-24,billing,1,1.4
T0000565,S000451,2026-04-19,other,1,3.5
T0000566,S000452,2026-01-15,content,1,0.5
T0000567,S000452,2026-01-18,billing,0,
T0000568,S000452,2026-03-17,technical,0,
