billing_id,subscriber_id,billing_date,amount_due,payment_status,retry_count
B00000093,S000010,2026-01-04,11.99,paid,0
B00000094,S000010,2026-02-03,11.99,paid,0
B00000095,S000010,2026-03-06,11.99,paid,0
B00000096,S000010,2026-04-05,11.99,paid,0
B00000097,S000010,2026-05-06,11.99,paid,0
B00000098,S000010,2026-06-05,11.99,paid,0
B00000099,S000011,2025-07-05,11.99,paid,0
B00000100,S000011,2025-08-04,11.99,paid,0
B00000101,S000011,2025-09-04,11.99,paid,0
B00000102,S000011,2025-10-04,11.99,paid,0
B00000103,S000011,2025-11-04,11.99,failed,2
B00000104,S000011,2025-12-04,11.99,paid,0
B00000105,S000011,2026-01-04,11.99,paid,0
B00000106,S000011,2026-02-03,11.99,paid,0
B00000107,S000011,2026-03-06,11.99,paid,0
B00000108,S000011,2026-04-05,11.99,paid,0
B00000109,S000011,2026-05-06,11.99,paid,0
B00000110,S000011,2026-06-05,11.99,paid,0
B00000111,S000012,2025-07-05,17.99,paid,0
B00000112,S000012,2025-08-04,17.99,paid,0
B00000113,S000012,2025-09-04,17.99,paid,0
B00000114,S000012,2025-10-04,17.99,paid,0
B00000115,S000012,2025-11-04,17.99,paid,0
B00000116,S000012,2025-12-04,17.99,paid,0
B00000117,S000012,2026-01-04,17.99,paid,0
B00000118,S000012,2026-02-03,17.99,paid,0
B00000119,S000012,2026-03-06,17.99,failed,1
B00000120,S000012,2026-04-05,17.99,failed,2
B00000121,S000012,2026-05-06,17.99,paid,0
B00000122,S000012,2026-06-05,17.99,paid,0
B00000123,S000013,2026-04-05,11.99,paid,0
B00000124,S000013,2026-05-06,11.99,paid,0
B00000125,S000013,2026-06-05,11.99,paid,0
B00000126,S000014,2026-06-05,17.99,paid,0
B00000127,S000015,2025-07-05,11.99,paid,0
B00000128,S000015,2025-08-04,11.99,paid,0
B00000129,S000015,2025-09-04,11.99,paid,0
B00000130,S000015,2025-10-04,11.99,paid,0
B00000131,S000015,2025-11-04,11.99,paid,0
B00000132,S000015,2025-12-04,11.99,paid,0
B00000133,S000015,2026-01-04,11.99,paid,0
B00000134,S000015,2026-02-03,11.99,paid,0
B00000135,S000015,2026-03-06,11.99,paid,0
B00000136,S000015,2026-04-05,11.99,paid,0
B00000137,S000015,2026-05-06,11.99,paid,0
B00000138,S000015,2026-06-05,11.99,paid,0
B00000139,S000016,2025-07-05,6.99,paid,0
B00000140,S000016,2025-08-04,6.99,paid,0
B00000141,S000016,2025-09-04,6.99,paid,0
B00000142,S000016,2025-10-04,6.99,paid,0
B00000143,S000016,2025-11-04,6.99,paid,0
B00000144,S000016,2025-12-04,6.99,paid,0
B00000145,S000016,2026-01-04,6.99,paid,0
B00000146,S000016,2026-02-03,6.99,paid,0
B00000147,S000016,2026-03-06,6.99,paid,0
B00000148,S000016,2026-04-05,6.99,paid,0
B00000149,S000016,2026-05-06,6.99,paid,0
B00000150,S000016,2026-06-05,6.99,paid,0
B00000151,S000017,2025-12-04,11.99,paid,0
B00000152,S000017,2026-01-04,11.99,failed,1
B00000153,S000017,2026-02-03,11.99,disputed,2
B00000154,S000017,2026-03-06,11.99,paid,0
B00000155,S000017,2026-04-05,11.99,paid,0
B00000156,S000017,2026-05-06,11.99,paid,0
B00000157,S000017,2026-06-05,11.99,paid,0
B00000158,S000018,2025-07-05,6.99,paid,0
B00000159,S000018,2025-08-04,6.99,paid,0
B00000160,S000018,2025-09-04,6.99,paid,0
B00000161,S000018,2025-10-04,6.99,paid,0
B00000162,S000018,2025-11-04,6.99,paid,0
B00000163,S000018,2025-12-04,6.99,paid,0
B00000164,S000018,2026-01-04,6.99,paid,0
B00000165,S000018,2026-02-03,6.99,paid,0
B00000166,S000018,2026-03-06,6.99,paid,0
B00000167,S000018,2026-04-05,6.99,paid,0
B00000168,S000018,2026-05-06,6.99,paid,0
B00000169,S000018,2026-06-05,6.99,paid,0
B00000170,S000019,2025-07-05,17.99,failed,3
B00000171,S000019,2025-08-04,17.99,paid,0
B00000172,S000019,2025-09-04,17.99,paid,0
B00000173,S000019,2025-10-04,17.99,paid,0
B00000174,S000019,2025-11-04,17.99,paid,0
B00000175,S000019,2025-12-04,17.99,paid,0
B00000176,S000019,2026-01-04,17.99,paid,0
B00000177,S000019,2026-02-03,17.99,paid,0
B00000178,S000019,2026-03-06,17.99,paid,0
B00000179,S000019,2026-04-05,17.99,paid,0
B00000180,S000019,2026-05-06,17.99,paid,0
B00000181,S000019,2026-06-05,17.99,paid,0
B00000182,S000020,2025-08-04,11.99,paid,0
B00000183,S000020,2025-09-04,11.99,paid,0
B00000184,S000020,2025-10-04,11.99,paid,0
B00000185,S000020,2025-11-04,11.99,paid,0
B00000186,S000020,2025-12-04,11.99,failed,1
B00000187,S000020,2026-01-04,11.99,paid,0
B00000188,S000020,2026-02-03,11.99,paid,0
B00000189,S000020,2026-03-06,11.99,failed,3
B00000190,S000020,2026-04-05,11.99,disputed,3
B00000191,S000020,2026-05-06,11.99,paid,0
B00000192,S000020,2026-06-05,11.99,disputed,1
B00000193,S000021,2025-07-05,11.99,paid,0
B00000194,S000021,2025-08-04,11.99,paid,0
B00000195,S000021,2025-09-04,11.99,paid,0
B00000196,S000021,2025-10-04,11.99,paid,0
B00000197,S000021,2025-11-04,11.99,paid,0
B00000198,S000021,2025-12-04,11.99,paid,0
B00000199,S000021,2026-01-04,11.99,paid,0
B00000200,S000021,2026-02-03,11.99,paid,0
B00000201,S000021,2026-03-06,11.99,paid,0
B00000202,S000021,2026-04-05,11.99,paid,0
B00000203,S000021,2026-05-06,11.99,paid,0
B00000204,S000021,2026-06-05,11.99,paid,0
B00000205,S000022,2025-07-05,11.99,paid,0
B00000206,S000022,2025-08-04,11.99,paid,0
B00000207,S000022,2025-09-04,11.99,paid,0
B00000208,S000022,2025-10-04,11.99,paid,0
B00000209,S000022,2025-11-04,11.99,paid,0
B00000210,S000022,2025-12-04,11.99,paid,0
B00000211,S000022,2026-01-04,11.99,paid,0
B00000212,S000022,2026-02-03,11.99,paid,0
B00000213,S000022,2026-03-06,11.99,paid,0
B00000214,S000022,2026-04-05,11.99,paid,0
B00000215,S000022,2026-05-06,11.99,paid,0
B00000216,S000022,2026-06-05,11.99,paid,0
B00000217,S000023,2025-07-05,17.99,paid,0
B00000218,S000023,2025-08-04,17.99,paid,0
B00000219,S000023,2025-09-04,17.99,paid,0
B00000220,S000023,2025-10-04,17.99,paid,0
B00000221,S000023,2025-11-04,17.99,paid,0
B00000222,S000023,2025-12-04,17.99,paid,0
B00000223,S000023,2026-01-04,17.99,paid,0
B00000224,S000023,2026-02-03,17.99,paid,0
B00000225,S000023,2026-03-06,17.99,failed,2
B00000226,S000023,2026-04-05,17.99,paid,0
B00000227,S000023,2026-05-06,17.99,paid,0
B00000228,S000023,2026-06-05,17.99,paid,0
B00000229,S000024,2025-10-04,17.99,paid,0
B00000230,S000024,2025-11-04,17.99,paid,0
B00000231,S000024,2025-12-04,17.99,failed,2
B00000232,S000024,2026-01-04,17.99,paid,0
B00000233,S000024,2026-02-03,17.99,paid,0
B00000234,S000024,2026-03-06,17.99,failed,1
B00000235,S000024,2026-04-05,17.99,paid,0
B00000236,S000024,2026-05-06,17.99,paid,0
B00000237,S000024,2026-06-05,17.99,paid,0
B00000238,S000025,2026-02-03,17.99,failed,1
B00000239,S000025,2026-03-06,17.99,paid,0
B00000240,S000025,2026-04-05,17.99,paid,0
B00000241,S000025,2026-05-06,17.99,paid,0
B00000242,S000025,2026-06-05,17.99,paid,0
B00000243,S000026,2025-07-05,6.99,paid,0
B00000244,S000026,2025-08-04,6.99,paid,0
B00000245,S000026,2025-09-04,6.99,failed,3
B00000246,S000026,2025-10-04,6.99,paid,0
B00000247,S000026,2025-11-04,6.99,paid,0
B00000248,S000026,2025-12-04,6.99,paid,0
B00000249,S000026,2026-01-04,6.99,paid,0
B00000250,S000026,2026-02-03,6.99,paid,0
B00000251,S000026,2026-03-06,6.99,paid,0
B00000252,S000026,2026-04-05,6.99,paid,0
B00000253,S000026,2026-05-06,6.99,paid,0
B00000254,S000026,2026-06-05,6.99,failed,1
B00000255,S000027,2025-07-05,11.99,paid,0
B00000256,S000027,2025-08-04,11.99,paid,0
B00000257,S000027,2025-09-04,11.99,paid,0
B00000258,S000027,2025-10-04,11.99,paid,0
B00000259,S000027,2025-11-04,11.99,paid,0
B00000260,S000027,2025-12-04,11.99,paid,0
B00000261,S000027,2026-01-04,11.99,paid,0
B00000262,S000027,2026-02-03,11.99,paid,0
B00000263,S000027,2026-03-06,11.99,paid,0
B00000264,S000027,2026-04-05,11.99,paid,0
B00000265,S000027,2026-05-06,11.99,paid,0
B00000266,S000027,2026-06-05,11.99,paid,0
B00000267,S000028,2025-07-05,6.99,paid,0
B00000268,S000028,2025-08-04,6.99,paid,0
B00000269,S000028,2025-09-04,6.99,paid,0
B00000270,S000028,2025-10-04,6.99,paid,0
B00000271,S000028,2025-11-04,6.99,paid,0
B00000272,S000028,2025-12-04,6.99,paid,0
B00000273,S000028,2026-01-04,6.99,paid,0
B00000274,S000028,2026-02-03,6.99,paid,0
B00000275,S000028,2026-03-06,6.99,paid,0
B00000276,S000028,2026-04-05,6.99,paid,0
B00000277,S000028,2026-05-06,6.99,paid,0
B00000278,S000028,2026-06-05,6.99,paid,0
B00000279,S000029,2025-07-05,6.99,paid,0
B00000280,S000029,2025-08-04,6.99,paid,0
B00000281,S000029,2025-09-04,6.99,paid,0
B00000282,S000029,2025-10-04,6.99,paid,0
B00000283,S000029,2025-11-04,6.99,paid,0
B00000284,S000029,2025-12-04,6.99,paid,0
B00000285,S000029,2026-01-04,6.99,paid,0
B00000286,S000029,2026-02-03,6.99,failed,1
B00000287,S000029,2026-03-06,6.99,paid,0
B00000288,S000029,2026-04-05,6.99,paid,0
B00000289,S000029,2026-05-06,6.99,paid,0
B00000290,S000029,2026-06-05,6.99,failed,2
B00000291,S000030,2025-07-05,11.99,paid,0
B00000292,S000030,2025-08-04,11.99,paid,0
B00000293,S000030,2025-09-04,11.99,paid,0
B00000294,S000030,2025-10-04,11.99,paid,0
B00000295,S000030,2025-11-04,11.99,paid,0
B00000296,S000030,2025-12-04,11.99,paid,0
B00000297,S000030,2026-01-04,11.99,paid,0
B00000298,S000030,2026-02-03,11.99,paid,0
B00000299,S000030,2026-03-06,11.99,paid,0
B00000300,S000030,2026-04-05,11.99,paid,0
B00000301,S000030,2026-05-06,11.99,paid,0
B00000302,S000030,2026-06-05,11.99,paid,0
B00000303,S000031,2025-07-05,11.99,failed,1
B00000304,S000031,2025-08-04,11.99,paid,0
B00000305,S000031,2025-09-04,11.99,paid,0
B00000306,S000031,2025-10-04,11.99,disputed,3
B00000307,S000031,2025-11-04,11.99,paid,0
B00000308,S000031,2025-12-04,11.99,paid,0
B00000309,S000031,2026-01-04,11.99,paid,0
B00000310,S000031,2026-02-03,11.99,paid,0
B00000311,S000031,2026-03-06,11.99,paid,0
B00000312,S000031,2026-04-05,11.99,paid,0
B00000313,S000031,2026-05-06,11.99,paid,0
B00000314,S000031,2026-06-05,11.99,paid,0
B00000315,S000032,2025-07-05,17.99,paid,0
B00000316,S000032,2025-08-04,17.99,paid,0
B00000317,S000032,2025-09-04,17.99,paid,0
B00000318,S000032,2025-10-04,17.99,paid,0
B00000319,S000032,2025-11-04,17.99,paid,0
B00000320,S000032,2025-12-04,17.99,paid,0
B00000321,S000032,2026-01-04,17.99,paid,0
B00000322,S000032,2026-02-03,17.99,paid,0
B00000323,S000032,2026-03-06,17.99,paid,0
B00000324,S000032,2026-04-05,17.99,paid,0
B00000325,S000032,2026-05-06,17.99,paid,0
B00000326,S000032,2026-06-05,17.99,paid,0
B00000327,S000033,2025-07-05,6.99,paid,0
B00000328,S000033,2025-08-04,6.99,paid,0
B00000329,S000033,2025-09-04,6.99,failed,1
B00000330,S000033,2025-10-04,6.99,paid,0
B00000331,S000033,2025-11-04,6.99,paid,0
B00000332,S000033,2025-12-04,6.99,paid,0
B00000333,S000033,2026-01-04,6.99,paid,0
B00000334,S000033,2026-02-03,6.99,paid,0
B00000335,S000033,2026-03-06,6.99,paid,0
B00000336,S000033,2026-04-05,6.99,paid,0
B00000337,S000033,2026-05-06,6.99,paid,0
B00000338,S000033,2026-06-05,6.99,paid,0
B00000339,S000034,2026-06-05,11.99,paid,0
B00000340,S000035,2025-07-05,11.99,paid,0
B00000341,S000035,2025-08-04,11.99,paid,0
B00000342,S000035,2025-09-04,11.99,paid,0
B00000343,S000035,2025-10-04,11.99,paid,0
B00000344,S000035,2025-11-04,11.99,paid,0
B00000345,S000035,2025-12-04,11.99,paid,0
B00000346,S000035,2026-01-04,11.99,paid,0
B00000347,S000035,2026-02-03,11.99,paid,0
B00000348,S000035,2026-03-06,11.99,paid,0
B00000349,S000035,2026-04-05,11.99,paid,0
B00000350,S000035,2026-05-06,11.99,paid,0
B00000351,S000035,2026-06-05,11.99,paid,0
B00000352,S000036,2025-07-05,6.99,paid,0
B00000353,S000036,2025-08-04,6.99,paid,0
B00000354,S000036,2025-09-04,6.99,paid,0
B00000355,S000036,2025-10-04,6.99,paid,0
B00000356,S000036,2025-11-04,6.99,paid,0
B00000357,S000036,2025-12-04,6.99,paid,0
B00000358,S000036,2026-01-04,6.99,paid,0
B00000359,S000036,2026-02-03,6.99,failed,1
B00000360,S000036,2026-03-06,6.99,paid,0
B00000361,S000036,2026-04-05,6.99,paid,0
B00000362,S000036,2026-05-06,6.99,paid,0
B00000363,S000036,2026-06-05,6.99,paid,0
B00000364,S000037,2025-07-05,6.99,paid,0
B00000365,S000037,2025-08-04,6.99,paid,0
B00000366,S000037,2025-09-04,6.99,paid,0
B00000367,S000037,2025-10-04,6.99,paid,0
B00000368,S000037,2025-11-04,6.99,paid,0
B00000369,S000037,2025-12-04,6.99,paid,0
B00000370,S000037,2026-01-04,6.99,paid,0
B00000371,S000037,2026-02-03,6.99,paid,0
B00000372,S000037,2026-03-06,6.99,paid,0
B00000373,S000037,2026-04-05,6.99,paid,0
B00000374,S000037,2026-05-06,6.99,paid,0
B00000375,S000037,2026-06-05,6.99,paid,0
B00000376,S000038,2026-05-06,11.99,paid,0
B00000377,S000038,2026-06-05,11.99,failed,2
B00000378,S000039,2026-01-04,6.99,paid,0
B00000379,S000039,2026-02-03,6.99,paid,0
B00000380,S000039,2026-03-06,6.99,paid,0
B00000381,S000039,2026-04-05,6.99,failed,1
B00000382,S000039,2026-05-06,6.99,paid,0
B00000383,S000039,2026-06-05,6.99,paid,0
B00000384,S000040,2026-01-04,11.99,paid,0
B00000385,S000040,2026-02-03,11.99,failed,1
B00000386,S000040,2026-03-06,11.99,paid,0
B00000387,S000040,2026-04-05,11.99,paid,0
B00000388,S000040,2026-05-06,11.99,paid,0
B00000389,S000040,2026-06-05,11.99,failed,1
B00000390,S000041,2025-07-05,11.99,paid,0
B00000391,S000041,2025-08-04,11.99,paid,0
B00000392,S000041,2025-09-04,11.99,paid,0
B00000393,S000041,2025-10-04,11.99,paid,0
B00000394,S000041,2025-11-04,11.99,paid,0
B00000395,S000041,2025-12-04,11.99,paid,0
B00000396,S000041,2026-01-04,11.99,paid,0
B00000397,S000041,2026-02-03,11.99,paid,0
B00000398,S000041,2026-03-06,11.99,failed,3
B00000399,S000041,2026-04-05,11.99,paid,0
B00000400,S000041,2026-05-06,11.99,paid,0
B00000401,S000041,2026-06-05,11.99,paid,0
B00000402,S000042,2025-07-05,17.99,paid,0
B00000403,S000042,2025-08-04,17.99,paid,0
B00000404,S000042,2025-09-04,17.99,paid,0
B00000405,S000042,2025-10-04,17.99,disputed,1
B00000406,S000042,2025-11-04,17.99,paid,0
B00000407,S000042,2025-12-04,17.99,paid,0
B00000408,S000042,2026-01-04,17.99,paid,0
B00000409,S000042,2026-02-03,17.99,paid,0
B00000410,S000042,2026-03-06,17.99,paid,0
B00000411,S000042,2026-04-05,17.99,paid,0
B00000412,S000042,2026-05-06,17.99,paid,0
B00000413,S000042,2026-06-05,17.99,paid,0
B00000414,S000043,2026-05-06,11.99,paid,0
B00000415,S000043,2026-06-05,11.99,failed,1
B00000416,S000044,2025-07-05,6.99,paid,0
B00000417,S000044,2025-08-04,6.99,paid,0
B00000418,S000044,2025-09-04,6.99,paid,0
B00000419,S000044,2025-10-04,6.99,paid,0
B00000420,S000044,2025-11-04,6.99,paid,0
B00000421,S000044,2025-12-04,6.99,paid,0
B00000422,S000044,2026-01-04,6.99,paid,0
B00000423,S000044,2026-02-03,6.99,failed,3
B00000424,S000044,2026-03-06,6.99,paid,0
B00000425,S000044,2026-04-05,6.99,paid,0
B00000426,S000044,2026-05-06,6.99,paid,0
B00000427,S000044,2026-06-05,6.99,paid,0
B00000428,S000045,2026-05-06,17.99,failed,3
B00000429,S000045,2026-06-05,17.99,paid,0
B00000430,S000046,2025-11-04,17.99,paid,0
B00000431,S000046,2025-12-04,17.99,paid,0
B00000432,S000046,2026-01-04,17.99,paid,0
B00000433,S000046,2026-02-03,17.99,failed,1
B00000434,S000046,2026-03-06,17.99,paid,0
B00000435,S000046,2026-04-05,17.99,paid,0
B00000436,S000046,2026-05-06,17.99,disputed,3
B00000437,S000046,2026-06-05,17.99,paid,0
B00000438,S000047,2025-07-05,11.99,paid,0
B00000439,S000047,2025-08-04,11.99,paid,0
B00000440,S000047,2025-09-04,11.99,paid,0
B00000441,S000047,2025-10-04,11.99,paid,0
B00000442,S000047,2025-11-04,11.99,paid,0
B00000443,S000047,2025-12-04,11.99,paid,0
B00000444,S000047,2026-01-04,11.99,paid,0
B00000445,S000047,2026-02-03,11.99,paid,0
B00000446,S000047,2026-03-06,11.99,paid,0
B00000447,S000047,2026-04-05,11.99,paid,0
B00000448,S000047,2026-05-06,11.99,paid,0
B00000449,S000047,2026-06-05,11.99,paid,0
B00000450,S000048,2025-07-05,6.99,paid,0
B00000451,S000048,2025-08-04,6.99,paid,0
B00000452,S000048,2025-09-04,6.99,paid,0
B00000453,S000048,2025-10-04,6.99,paid,0
B00000454,S000048,2025-11-04,6.99,paid,0
B00000455,S000048,2025-12-04,6.99,paid,0
B00000456,S000048,2026-01-04,6.99,paid,0
B00000457,S000048,2026-02-03,6.99,paid,0
B00000458,S000048,2026-03-06,6.99,paid,0
B00000459,S000048,2026-04-05,6.99,paid,0
B00000460,S000048,2026-05-06,6.99,paid,0
B00000461,S000048,2026-06-05,6.99,paid,0
B00000462,S000049,2025-07-05,11.99,paid,0
B00000463,S000049,2025-08-04,11.99,paid,0
B00000464,S000049,2025-09-04,11.99,paid,0
B00000465,S000049,2025-10-04,11.99,paid,0
B00000466,S000049,2025-11-04,11.99,paid,0
B00000467,S000049,2025-12-04,11.99,paid,0
B00000468,S000049,2026-01-04,11.99,paid,0
B00000469,S000049,2026-02-03,11.99,failed,2
B00000470,S000049,2026-03-06,11.99,paid,0
B00000471,S000049,2026-04-05,11.99,paid,0
B00000472,S000049,2026-05-06,11.99,paid,0
B00000473,S000049,2026-06-05,11.99,paid,0
B00000474,S000050,2025-07-05,6.99,paid,0
B00000475,S000050,2025-08-04,6.99,paid,0
B00000476,S000050,2025-09-04,6.99,paid,0
B00000477,S000050,2025-10-04,6.99,paid,0
B00000478,S000050,2025-11-04,6.99,paid,0
B00000479,S000050,2025-12-04,6.99,paid,0
B00000480,S000050,2026-01-04,6.99,paid,0
B00000481,S000050,2026-02-03,6.99,paid,0
B00000482,S000050,2026-03-06,6.99,paid,0
B00000483,S000050,2026-04-05,6.99,paid,0
B00000484,S000050,2026-05-06,6.99,paid,0
B00000485,S000050,2026-06-05,6.99,paid,0
B00000486,S000051,2025-07-05,6.99,paid,0
B00000487,S000051,2025-08-04,6.99,paid,0
B00000488,S000051,2025-09-04,6.99,paid,0
B00000489,S000051,2025-10-04,6.99,failed,3
B00000490,S000051,2025-11-04,6.99,paid,0
B00000491,S000051,2025-12-04,6.99,paid,0
B00000492,S000051,2026-01-04,6.99,paid,0
B00000493,S000051,2026-02-03,6.99,paid,0
B00000494,S000051,2026-03-06,6.99,paid,0
B00000495,S000051,2026-04-05,6.99,paid,0
B00000496,S000051,2026-05-06,6.99,paid,0
B00000497,S000051,2026-06-05,6.99,paid,0
B00000498,S000052,2026-01-04,6.99,paid,0
B00000499,S000052,2026-02-03,6.99,paid,0
B00000500,S000052,2026-03-06,6.99,paid,0
B00000501,S000052,2026-04-05,6.99,paid,0
B00000502,S000052,2026-05-06,6.99,paid,0
B00000503,S000052,2026-06-05,6.99,failed,2
B00000504,S000053,2025-07-05,17.99,failed,1
B00000505,S000053,2025-08-04,17.99,paid,0
B00000506,S000053,2025-09-04,17.99,failed,2
B00000507,S000053,2025-10-04,17.99,paid,0
B00000508,S000053,2025-11-04,17.99,paid,0
B00000509,S000053,2025-12-04,17.99,paid,0
B00000510,S000053,2026-01-04,17.99,paid,0
B00000511,S000053,2026-02-03,17.99,paid,0
B00000512,S000053,2026-03-06,17.99,paid,0
B00000513,S000053,2026-04-05,17.99,paid,0
B00000514,S000053,2026-05-06,17.99,paid,0
B00000515,S000053,2026-06-05,17.99,paid,0
B00000516,S000054,2025-07-05,11.99,paid,0
B00000517,S000054,2025-08-04,11.99,paid,0
B00000518,S000054,2025-09-04,11.99,paid,0
B00000519,S000054,2025-10-04,11.99,paid,0
B00000520,S000054,2025-11-04,11.99,paid,0
B00000521,S000054,2025-12-04,11.99,paid,0
B00000522,S000054,2026-01-04,11.99,disputed,1
B00000523,S000054,2026-02-03,11.99,paid,0
B00000524,S000054,2026-03-06,11.99,paid,0
B00000525,S000054,2026-04-05,11.99,paid,0
B00000526,S000054,2026-05-06,11.99,paid,0
B00000527,S000054,2026-06-05,11.99,paid,0
B00000528,S000055,2025-07-05,11.99,paid,0
B00000529,S000055,2025-08-04,11.99,paid,0
B00000530,S000055,2025-09-04,11.99,paid,0
B00000531,S000055,2025-10-04,11.99,paid,0
B00000532,S000055,2025-11-04,11.99,failed,2
B00000533,S000055,2025-12-04,11.99,paid,0
B00000534,S000055,2026-01-04,11.99,failed,1
B00000535,S000055,2026-02-03,11.99,paid,0
B00000536,S000055,2026-03-06,11.99,paid,0
B00000537,S000055,2026-04-05,11.99,paid,0
B00000538,S000055,2026-05-06,11.99,paid,0
B00000539,S000055,2026-06-05,11.99,paid,0
B00000540,S000056,2025-11-04,17.99,paid,0
B00000541,S000056,2025-12-04,17.99,paid,0
B00000542,S000056,2026-01-04,17.99,paid,0
B00000543,S000056,2026-02-03,17.99,paid,0
B00000544,S000056,2026-03-06,17.99,paid,0
B00000545,S000056,2026-04-05,17.99,paid,0
B00000546,S000056,2026-05-06,17.99,paid,0
B00000547,S000056,2026-06-05,17.99,paid,0
B00000548,S000057,2025-07-05,11.99,paid,0
B00000549,S000057,2025-08-04,11.99,paid,0
B00000550,S000057,2025-09-04,11.99,paid,0
B00000551,S000057,2025-10-04,11.99,paid,0
B00000552,S000057,2025-11-04,11.99,paid,0
B00000553,S000057,2025-12-04,11.99,paid,0
B00000554,S000057,2026-01-04,11.99,paid,0
B00000555,S000057,2026-02-03,11.99,paid,0
B00000556,S000057,2026-03-06,11.99,paid,0
B00000557,S000057,2026-04-05,11.99,paid,0
